-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	170	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	170	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	170	170	170	170	-1	-1	-1	170	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	189	189	189	189	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	189	189	189	189	189	170	170	170	170	170	170	170	170	170	170	170	170	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	170	170	170
180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	170	170	-1	170	170	170	170	170	180	180	180	180	180	180	180	180	180	180	180	180	189
180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	-1	-1	180	180	180	180	180	180	180	180	180	180	180	189	180	180
180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	-1	-1	-1	180	180	180	180	180	180	180	180	180	180	180	180	180	180
180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	-1	-1	-1	-1	-1	180	180	180	180	180	180	180	180	180	180	180	180	180	180
184	184	184	184	184	180	180	180	180	180	180	180	180	180	180	180	180	180	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	180	180	180	180	180	180	180	180	180	180	180	180
180	180	180	180	180	180	180	180	180	180	-1	-1	180	180	180	180	180	162	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	180	-1	-1	-1	-1	-1	180	180	180	180	180
180	180	180	180	180	180	180	180	180	-1	-1	-1	-1	180	180	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	180	180	162	180
180	180	180	180	180	180	180	180	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	180	180	180	180	180	180	180	-1	-1	-1	-1	-1	-1	-1	-1	180	180	180	162
180	180	180	180	180	180	162	162	-1	-1	-1	-1	-1	-1	-1	-1	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	162	-1	180	180	180	180	162	180	162
162	162	162	162	180	180	180	180	180	-1	-1	-1	-1	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	162	162	162	162	162
162	162	162	162	162	162	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	162	162	162	162	162	180	180	180	180	162	162	162	162	162
162	162	162	162	162	162	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	180	162	162	162	162	162	180	180	180	180	162	162	162	162	162
